id,song_name,artist_name,popularity,release_date,genres,danceability,energy,valence,tempo,loudness,duration_ms,key,mode
3BprrMTQ3IlFvHW8oFTTQ1,Younger,Imagine Dragons,48,2022-07-01,"modern rock, pop, rock",0.661,0.562,0.512,111.03,-8.114,191937,0,1
1X9hG9ChkrwhViamDCZTy9,I Wish,Imagine Dragons,45,2022-07-01,"modern rock, pop, rock",0.224,0.291,0.146,71.948,-9.109,207300,7,1
2EhE42VQTKvn6ok6wtA9U8,Continual (feat. Cory Henry),Imagine Dragons,43,2022-07-01,"modern rock, pop, rock",0.519,0.289,0.12,110.851,-7.366,229508,0,1
7KGwRAF99Ryell3B2T4DKy,They Don't Know You Like I Do,Imagine Dragons,46,2022-07-01,"modern rock, pop, rock",0.356,0.167,0.164,149.675,-9.355,257875,9,1
73NbHgUZ51H65Bfo2HFKUi,Whatever It Takes,Imagine Dragons,1,2017-06-23,"modern rock, pop, rock",0.675,0.662,0.536,134.936,-4.989,201240,1,1
1NtIMM4N0cFa1dNzN15chl,Believer,Imagine Dragons,4,2017-06-23,"modern rock, pop, rock",0.772,0.78,0.719,124.988,-4.288,204347,10,0
4G8gkOterJn0Ywt6uhqbhp,Radioactive,Imagine Dragons,71,2012-09-04,"modern rock, pop, rock",0.448,0.784,0.237,136.239,-3.686,186813,9,1
5VnDkUNyX6u5Sk0yZiP8XB,Thunder,Imagine Dragons,2,2017-06-23,"modern rock, pop, rock",0.604,0.826,0.241,167.985,-4.804,187147,0,1
6KuHjfXHkfnIjdmcIvt9r0,On Top Of The World,Imagine Dragons,67,2012-09-04,"modern rock, pop, rock",0.635,0.926,0.771,100.043,-5.589,189840,0,1
6BtmXhTJMM9sBTHeYYASGz,It's Time,Imagine Dragons,64,2012-09-04,"modern rock, pop, rock",0.656,0.884,0.858,105.009,-4.748,237987,2,1
